Date,Dividends
2011-02-01,0.225000
2011-03-01,0.212000
2011-04-01,0.228000
2011-05-02,0.223000
2011-06-01,0.224000
2011-07-01,0.217000
2011-08-01,0.221000
2011-09-01,0.213000
2011-10-03,0.214000
2011-11-01,0.210000
2011-12-01,0.203000
2011-12-23,0.596000
2012-02-01,0.204000
2012-03-01,0.195000
2012-04-02,0.276000
2012-05-01,0.190000
2012-06-01,0.186000
2012-07-02,0.187000
2012-08-01,0.187000
2012-09-04,0.184000
2012-10-01,0.174000
2012-12-03,0.167000
2013-02-01,0.166000
2013-03-01,0.156000
2013-04-01,0.306000
2013-05-01,0.162000
2013-06-03,0.165000
2013-07-01,0.167000
2013-08-01,0.166000
2013-09-03,0.171000
2013-10-01,0.172000
2013-11-01,0.181000
2013-12-02,0.175000
2013-12-24,0.241000
2014-02-03,0.171000
2014-03-03,0.172000
2014-04-01,0.190000
2014-05-01,0.178000
2014-06-02,0.179000
2014-07-01,0.172000
2014-08-01,0.172000
2014-09-02,0.179000
2014-10-01,0.161000
2014-11-03,0.173000
2014-12-01,0.166000
2014-12-23,0.381000
2015-02-02,0.170000
2015-03-02,0.162000
2015-04-01,0.191000
2015-05-01,0.159000
2015-06-01,0.166000
2015-07-01,0.163000
2015-08-03,0.169000
2015-09-01,0.168000
2015-10-01,0.164000
2015-11-02,0.169000
2015-12-01,0.167000
2015-12-23,0.230000
2016-02-01,0.174000
2016-03-01,0.165000
2016-04-01,0.173000
2016-05-02,0.164000
2016-06-01,0.169000
2016-07-01,0.164000
2016-08-01,0.165000
2016-09-01,0.166000
2016-10-03,0.161000
2016-11-01,0.163000
2016-12-01,0.160000
2016-12-22,0.205000
2017-02-01,0.168000
2017-03-01,0.158000
2017-04-03,0.174000
2017-05-01,0.168000
2017-06-01,0.172000
2017-07-03,0.339000
2017-08-01,0.342000
2017-09-01,0.174000
2017-10-02,0.168000
2017-11-01,0.173000
2017-12-01,0.168000
2017-12-26,0.211000
2018-02-01,0.177000
2018-03-01,0.165000
2018-04-02,0.200000
2018-05-01,0.178000
2018-06-01,0.369000
2018-07-02,0.181000
2018-08-01,0.187000
2018-09-04,0.188000
2018-10-01,0.183000
2018-11-01,0.194000
2018-12-03,0.192000
2018-12-24,0.198000
2019-02-01,0.198000
2019-03-01,0.184000
2019-04-01,0.200000
2019-05-01,0.195000
2019-06-03,0.193000
2019-07-01,0.194000
2019-08-01,0.193000
2019-09-03,0.188000
2019-10-01,0.182000
2019-11-01,0.185000
2019-12-02,0.180000
2019-12-23,0.187000
2020-02-03,0.183000
2020-03-02,0.173000
2020-04-01,0.190000
2020-05-01,0.174000
2020-06-01,0.169000
2020-07-01,0.162000
2020-08-03,0.159000
2020-09-01,0.153000
2020-10-01,0.150000
2020-11-02,0.151000
2020-12-01,0.143000
2020-12-23,0.291000
2021-02-01,0.139000
2021-03-01,0.129000
2021-04-01,0.192000
2021-05-03,0.131000
2021-06-01,0.134000
2021-07-01,0.132000
2021-08-02,0.136000
2021-09-01,0.135000
2021-10-01,0.130000
2021-11-01,0.134000
2021-12-01,0.135000
2021-12-23,0.271000
2022-02-01,0.137000
2022-03-01,0.129000
2022-04-01,0.198000
2022-05-02,0.141000
2022-06-01,0.148000
2022-07-01,0.149000
2022-08-01,0.153000
2022-09-01,0.156000
2022-10-03,0.156000
2022-11-01,0.163000
2022-12-01,0.165000
2022-12-23,0.172000
2023-02-01,0.176000
2023-03-01,0.164000
2023-04-03,0.183000
2023-05-01,0.180000
2023-06-01,0.187000
