,Maximum Sharpe Ratio,Maximum Sharpe Ratio,Maximum Sharpe Ratio,Maximum Sharpe Ratio,Maximum Sharpe Ratio,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Global Minimum Variance,Global Minimum Variance,Global Minimum Variance,Global Minimum Variance,Global Minimum Variance,Target Returns 6.0%,Target Returns 6.0%,Target Returns 6.0%,Target Returns 6.0%,Target Returns 6.0%,Target Returns 9.0%,Target Returns 9.0%,Target Returns 9.0%,Target Returns 9.0%,Target Returns 9.0%,Target Returns 12.0%,Target Returns 12.0%,Target Returns 12.0%,Target Returns 12.0%,Target Returns 12.0%,Target Returns 15.0%,Target Returns 15.0%,Target Returns 15.0%,Target Returns 15.0%,Target Returns 15.0%,Target Returns 18.0%,Target Returns 18.0%,Target Returns 18.0%,Target Returns 18.0%,Target Returns 18.0%
,Returns,Account History,Drawdown,Previous Peak,Weights,Returns,Account History,Drawdown,Previous Peak,Weights,Returns,Account History,Drawdown,Previous Peak,Weights,Returns,Account History,Drawdown,Previous Peak,Weights,Returns,Account History,Drawdown,Previous Peak,Weights,Returns,Account History,Drawdown,Previous Peak,Weights,Returns,Account History,Drawdown,Previous Peak,Weights,Returns,Account History,Drawdown,Previous Peak,Weights
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01,,1000.0000000073787,,,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",,1000.0000000073787,,,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",,1000.0000000073787,,,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",,1000.0000000073787,,,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",,1000.0000000073787,,,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",,1000.0000000073787,,,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",,1000.0000000073787,,,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",,1000.0000000073787,,,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]"
1995-02,1.383337888682945e-11,1000.0000000212121,0.0,1000.0000000138334,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.383337888682945e-11,1000.0000000212121,0.0,1000.0000000138334,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.383337888682945e-11,1000.0000000212121,0.0,1000.0000000138334,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.383337888682945e-11,1000.0000000212121,0.0,1000.0000000138334,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.383337888682945e-11,1000.0000000212121,0.0,1000.0000000138334,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.383337888682945e-11,1000.0000000212121,0.0,1000.0000000138334,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.383337888682945e-11,1000.0000000212121,0.0,1000.0000000138334,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.383337888682945e-11,1000.0000000212121,0.0,1000.0000000138334,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]"
1995-03,1.1856959858391747e-11,1000.0000000330691,0.0,1000.0000000256904,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1856959858391747e-11,1000.0000000330691,0.0,1000.0000000256904,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1856959858391747e-11,1000.0000000330691,0.0,1000.0000000256904,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1856959858391747e-11,1000.0000000330691,0.0,1000.0000000256904,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1856959858391747e-11,1000.0000000330691,0.0,1000.0000000256904,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1856959858391747e-11,1000.0000000330691,0.0,1000.0000000256904,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1856959858391747e-11,1000.0000000330691,0.0,1000.0000000256904,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1856959858391747e-11,1000.0000000330691,0.0,1000.0000000256904,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]"
1995-04,1.0480061263251628e-11,1000.0000000435492,0.0,1000.0000000361704,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.0480061263251628e-11,1000.0000000435492,0.0,1000.0000000361704,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.0480061263251628e-11,1000.0000000435492,0.0,1000.0000000361704,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.0480061263251628e-11,1000.0000000435492,0.0,1000.0000000361704,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.0480061263251628e-11,1000.0000000435492,0.0,1000.0000000361704,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.0480061263251628e-11,1000.0000000435492,0.0,1000.0000000361704,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.0480061263251628e-11,1000.0000000435492,0.0,1000.0000000361704,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.0480061263251628e-11,1000.0000000435492,0.0,1000.0000000361704,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]"
1995-05,1.2950085448437676e-11,1000.0000000564993,0.0,1000.0000000491204,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.2950085448437676e-11,1000.0000000564993,0.0,1000.0000000491204,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.2950085448437676e-11,1000.0000000564993,0.0,1000.0000000491204,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.2950085448437676e-11,1000.0000000564993,0.0,1000.0000000491204,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.2950085448437676e-11,1000.0000000564993,0.0,1000.0000000491204,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.2950085448437676e-11,1000.0000000564993,0.0,1000.0000000491204,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.2950085448437676e-11,1000.0000000564993,0.0,1000.0000000491204,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.2950085448437676e-11,1000.0000000564993,0.0,1000.0000000491204,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]"
1995-06,1.1048051362649858e-11,1000.0000000675474,0.0,1000.0000000601685,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1048051362649858e-11,1000.0000000675474,0.0,1000.0000000601685,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1048051362649858e-11,1000.0000000675474,0.0,1000.0000000601685,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1048051362649858e-11,1000.0000000675474,0.0,1000.0000000601685,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1048051362649858e-11,1000.0000000675474,0.0,1000.0000000601685,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1048051362649858e-11,1000.0000000675474,0.0,1000.0000000601685,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1048051362649858e-11,1000.0000000675474,0.0,1000.0000000601685,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.1048051362649858e-11,1000.0000000675474,0.0,1000.0000000601685,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]"
1995-07,1.4162226946723422e-11,1000.0000000817096,0.0,1000.0000000743307,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.4162226946723422e-11,1000.0000000817096,0.0,1000.0000000743307,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.4162226946723422e-11,1000.0000000817096,0.0,1000.0000000743307,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.4162226946723422e-11,1000.0000000817096,0.0,1000.0000000743307,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.4162226946723422e-11,1000.0000000817096,0.0,1000.0000000743307,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.4162226946723422e-11,1000.0000000817096,0.0,1000.0000000743307,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.4162226946723422e-11,1000.0000000817096,0.0,1000.0000000743307,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",1.4162226946723422e-11,1000.0000000817096,0.0,1000.0000000743307,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]"
1995-08,3.22741833258533e-12,1000.000000084937,0.0,1000.0000000775582,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",3.22741833258533e-12,1000.000000084937,0.0,1000.0000000775582,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",3.22741833258533e-12,1000.000000084937,0.0,1000.0000000775582,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",3.22741833258533e-12,1000.000000084937,0.0,1000.0000000775582,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",3.22741833258533e-12,1000.000000084937,0.0,1000.0000000775582,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",3.22741833258533e-12,1000.000000084937,0.0,1000.0000000775582,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",3.22741833258533e-12,1000.000000084937,0.0,1000.0000000775582,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]",3.22741833258533e-12,1000.000000084937,0.0,1000.0000000775582,"[1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10 1.e-10
 1.e-10 1.e-10]"
