Date,Dividends
2011-03-25,0.412000
2011-06-24,0.499000
2011-09-23,0.497000
2011-12-23,0.642000
2012-03-26,0.502000
2012-06-25,0.519000
2012-09-24,0.525000
2012-12-24,0.797000
2013-03-22,0.534000
2013-06-24,0.631000
2013-09-23,0.618000
2013-12-24,1.008000
2014-03-25,0.453000
2014-06-24,0.695000
2014-09-24,0.668000
2014-12-22,1.103000
2015-03-25,0.512000
2015-06-26,0.762000
2015-09-23,0.752000
2015-12-23,1.098000
2016-03-21,0.919000
2016-06-21,0.764000
2016-09-13,0.598000
2016-12-22,1.695000
2017-03-22,0.595000
2017-06-23,0.801000
2017-09-22,0.854000
2017-12-21,1.264000
2018-03-26,0.706000
2018-06-18,0.732000
2018-09-24,1.144000
2018-12-13,0.949000
2019-03-28,0.616000
2019-06-27,0.827000
2019-09-24,0.744000
2019-12-18,0.957000
2020-03-10,0.648000
2020-06-25,0.759000
2020-09-25,0.590000
2020-12-24,1.338000
2021-03-25,0.526000
2021-06-24,0.729000
2021-09-24,0.657000
2021-12-27,1.053000
2022-03-23,0.577000
2022-06-23,0.570000
2022-09-23,0.916000
2022-12-22,1.164000
2023-03-24,0.770000
