Date,Dividends
2011-03-25,0.283000
2011-06-24,0.283000
2011-09-23,0.306000
2011-12-21,0.361000
2012-03-26,0.308000
2012-06-25,0.346000
2012-09-24,0.364000
2012-12-20,0.545000
2013-03-22,0.364000
2013-06-24,0.386000
2013-09-23,0.429000
2013-12-20,0.494000
2014-03-25,0.423000
2014-06-24,0.420000
2014-09-24,0.465000
2014-12-22,0.561000
2015-03-25,0.508000
2015-06-26,0.468000
2015-09-25,0.508000
2015-12-21,0.583000
2016-03-15,0.480000
2016-06-14,0.469000
2016-09-13,0.539000
2016-12-20,0.727000
2017-03-24,0.542000
2017-06-21,0.575000
2017-09-22,0.553000
2017-12-21,0.673000
2018-03-22,0.566000
2018-06-22,0.603000
2018-09-28,0.714000
2018-12-24,0.721000
2019-03-25,0.772000
2019-06-17,0.547000
2019-09-16,0.700000
2019-12-24,0.886000
2020-03-26,0.614000
2020-06-25,0.700000
2020-09-25,0.674000
2020-12-24,0.782000
2021-03-25,0.672000
2021-06-24,0.675000
2021-09-24,0.724000
2021-12-27,0.859000
2022-03-23,0.708000
2022-06-23,0.749000
2022-09-23,0.796000
2022-12-22,0.931000
2023-03-23,0.786000
2023-06-23,0.827000
